Player,Team ID,Position,Cost (£),Selected (%),Form,Points
Sels,16,1,4.7,8.1,2.8,64
Toffolo,16,2,4.3,0.1,0.0,1
Ui-jo,16,4,4.5,1.2,0.0,0
Wood,16,4,6.6,24.3,4.4,90
Worrall,16,2,4.5,0.0,0.0,0
Yates,16,3,4.9,0.2,1.8,39
Ward-Prowse,16,3,6.2,0.5,0.4,9
Milenković,16,2,4.6,2.6,4.6,59
Jota Silva,16,3,5.9,0.1,2.2,23
Sosa,16,3,5.5,0.0,0.6,15
Morato,16,2,4.5,0.0,0.8,9
Ramsdale,17,1,4.4,1.3,0.0,26
Archer,17,4,5.0,2.2,1.6,35
Ugochukwu,17,3,4.5,0.3,0.2,6
Fraser,17,3,4.8,0.0,1.0,6
Alcaraz,17,3,4.9,0.0,0.0,1
Amo-Ameyaw,17,3,4.4,0.1,0.0,1
Aribo,17,3,4.9,0.1,2.6,36
Armstrong,17,4,5.1,1.0,3.4,32
Bazunu,17,1,4.3,0.1,0.0,0
Bednarek,17,2,4.0,2.4,0.0,17
Bella-Kotchap,17,2,3.9,0.5,0.0,0
Bree,17,2,3.9,0.3,0.2,2
Charles,17,3,4.5,0.0,0.0,0
Edozie,17,3,4.9,0.0,0.0,1
Edwards,17,2,3.9,0.4,0.2,1
Harwood-Bellis,17,2,4.1,8.5,0.8,26
Kamaldeen,17,3,5.0,0.0,0.8,6
Lallana,17,3,5.0,0.0,0.0,11
Larios,17,2,4.0,0.1,0.0,0
Lis,17,1,4.0,0.1,0.0,0
Lumley,17,1,4.0,0.5,1.6,8
Manning,17,2,4.3,0.1,0.8,12
Mara,17,4,5.0,0.0,0.0,0
McCarthy,17,1,4.3,0.2,0.8,10
Onuachu,17,4,4.9,0.2,0.2,5
Smallbone,17,3,5.0,0.0,0.0,6
Stephens,17,2,4.0,0.6,0.0,10
Stewart,17,4,4.4,2.2,0.0,3
Sugawara,17,2,4.4,0.2,0.8,28
Taylor,17,2,3.9,5.0,0.2,6
Walker-Peters,17,2,4.4,0.3,1.4,28
Wood,17,2,4.0,1.3,0.4,2
